source,identifier,name,item_id,tag,code,correspondence_table
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,郡市名,0,ThreeMajorMetroPlanArea,A03_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,区町村名,0,ThreeMajorMetroPlanArea,A03_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,陸水等区分,0,ThreeMajorMetroPlanArea,A03_005,A03_005
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,区域区分,0,ThreeMajorMetroPlanArea,A03_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,区域コード,0,ThreeMajorMetroPlanArea,A03_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A03,備考,0,ThreeMajorMetroPlanArea,A03_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,3次メッシュコード,0,ThreeMajorMetroPlanArea,A05_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,保有林（概ね50%以上）,0,ThreeMajorMetroPlanArea,A05_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,国有林（概ね50%以上）,0,ThreeMajorMetroPlanArea,A05_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,民有林（概ね50%以上）,0,ThreeMajorMetroPlanArea,A05_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,国有地,0,ThreeMajorMetroPlanArea,A05_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,公有地,0,ThreeMajorMetroPlanArea,A05_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,国公有地,0,ThreeMajorMetroPlanArea,A05_007,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,台帳番号1,0,ThreeMajorMetroPlanArea,A05_008,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,台帳番号2,0,ThreeMajorMetroPlanArea,A05_009,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,台帳番号3,0,ThreeMajorMetroPlanArea,A05_010,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,台帳番号4,0,ThreeMajorMetroPlanArea,A05_011,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A05,台帳番号5,0,ThreeMajorMetroPlanArea,A05_012,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A07,重点製備地区コード,0,DesignatedRecreationArea,A07_001,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A07,都道府県コード,0,DesignatedRecreationArea,A07_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A07,指定年月日,0,DesignatedRecreationArea,A07_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A07,構想名,0,DesignatedRecreationArea,A07_004,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A07,地区名,0,DesignatedRecreationArea,A07_005,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A07,面積,0,DesignatedRecreationArea,A07_006,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A09,都道府県コード,0,UrbanArea,A09_001,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A09,支庁区分コード,0,UrbanArea,A09_002,SubprefectureNameCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A09,都市地域区分コード,0,UrbanArea,A09_003,UrbanPlanningAreaCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,都道府県コード,0,NaturalPark,A10_001,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,支庁区分コード,0,NaturalPark,A10_002,SubprefectureNameCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,自然公園地域区分コード,0,NaturalPark,A10_003,NaturalParkAreaCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,都道府県コード,1,NaturalPark2,A10_001,PrefCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,振興局コード,1,NaturalPark2,A10_002,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,自然公園区分コード,1,NaturalPark2,A10_003,NA
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,自然公園地域区分コード,1,NaturalPark2,A10_004,NaturalParkAreaCd.html
http://nlftp.mlit.go.jp/ksj/gml/shape_property_table.xls,A10,自然公園名称コード,1,NaturalPark2,A10_005,NA
