identifier,text,link_label,url_basename,url_fullname
A28,コードリスト「世界自然遺産コード」,世界自然遺産コード,WorldHeritageCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/WorldHeritageCd.html
A29,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A29,コードリスト「用途地域分類コード」,用途地域分類コード,UseDistrictCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/UseDistrictCd.html
A31,コードリスト型（浸水深ランクコード）,浸水深ランクコード,WaterDepthCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/WaterDepthCd.html
A31,コードリスト型（作成種別コード）,作成種別コード,CreatingTypeCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CreatingTypeCd.html
A32,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A32,コードリスト「行政コード」　,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A33,コードリスト「現象種別コード」　,現象種別コード,CodeOfPhenomenon.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CodeOfPhenomenon.html
A33,コードリスト「区域コード」　,区域コード,CodeOfZone_h27.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CodeOfZone_h27.html
A33,コードリスト「都道府県コード」　,都道府県コード,PrefCdA33.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCdA33.html
A33,コードリスト「特別警戒区域未指定コード」　,特別警戒区域未指定コード,CodeOfUnSpecification.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CodeOfUnSpecification.html
A35a,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A35a,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A35a,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A35a,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A35b,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A35b,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A35b,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A35b,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A35c,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A35c,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A35c,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
A35c,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A37,コードリスト「行政コード」,行政コード,AdminAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminAreaCd.html
A37,コードリスト「集計単位フラグ」,集計単位フラグ,AggUnitFlagEmerTransCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AggUnitFlagEmerTransCd.html
A38,コードリスト「設定フラグ」,設定フラグ,SettingFlag.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SettingFlag.html
A39,不燃領域率定義コード,不燃領域率定義コード,CodeNoncombustibleCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CodeNoncombustibleCd.html
A39,防災再開発促進地区指定コード,防災再開発促進地区指定コード,CodeDesignationCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/CodeDesignationCd.html
C02,コードリスト「港湾種別（1）コード」,港湾種別（1）コード,ClassHarbor1Cd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ClassHarbor1Cd.html
C02,コードリスト「港湾種別（2）コード」,港湾種別（2）コード,ClassHarbor2Cd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ClassHarbor2Cd.html
C02,コードリスト「港湾管理者区分コード」,港湾管理者区分コード,AdminHarborCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminHarborCd.html
C02,コードリスト「海事機関種別コード」,海事機関種別コード,MaritimeOrgCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/MaritimeOrgCd.html
C02,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
C02,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
C09,コードリスト「漁港種別コード」,漁港種別コード,ClassFishPortCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ClassFishPortCd.html
C09,コードリスト「漁業管理者区分コード」,漁業管理者区分コード,FishPortAdminCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/FishPortAdminCd.html
C09,コードリスト「都道府県コード」,都道府県コード,PrefCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/PrefCd.html
C23,コードリスト「所管官庁コード」　,所管官庁コード,AdminSeaLineCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminSeaLineCd.html
C23,コードリスト「海岸保全区域・海岸管理者コード」　,海岸保全区域・海岸管理者コード,AdminConAreaCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/AdminConAreaCd.html
C28,コードリスト「空港種別コード」,空港種別コード,InstallAirPortCd-v2_3.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/InstallAirPortCd-v2_3.html
C28,コードリスト「設置者・管理者コード」,設置者・管理者コード,InstallAdminCd-v2_3.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/InstallAdminCd-v2_3.html
C28,コードリスト「設置者・管理者コード」,設置者・管理者コード,InstallAdminCd-v2_3.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/InstallAdminCd-v2_3.html
C28,コードリスト「定期便の有無コード」,定期便の有無コード,RegularFlightCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/RegularFlightCd.html
G08,参照資料コード,参照資料コード,ReferenceDataCd.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/ReferenceDataCd.html
L01,コードリスト「見出し番号」　,見出し番号,IndexNumL01-v1_1.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/IndexNumL01-v1_1.html
L01,コードリスト「見出し番号」,見出し番号,IndexNumL01-v1_1.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/IndexNumL01-v1_1.html
L01,コードリスト「選定状況」,選定状況,SelectLandStatus-v1_1.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SelectLandStatus-v1_1.html
L02,コードリスト「見出し番号」,見出し番号,IndexNumL02-v2_2.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/IndexNumL02-v2_2.html
L02,コードリスト「見出し番号」,見出し番号,IndexNumL02-v2_2.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/IndexNumL02-v2_2.html
L02,コードリスト「選定状況」,選定状況,SelectLandStatus-v2_2.html,http://nlftp.mlit.go.jp/ksj/gml/codelist/SelectLandStatus-v2_2.html
